age_band_gf,p_death_total,p_recovery_total,gamma_hd,gamma_hr
Under 1,0.02576225925862343,0.9742377407413765,0.09025176415432395,0.08815205251138744
1 to 4,0.02576225925862343,0.9742377407413765,0.09025176415432395,0.08815205251138744
5 to 9,0.026852426776183602,0.9731475732238164,0.08949704519155814,0.08721011979624851
10 to 14,0.028168571797542057,0.9718314282024579,0.08877377473265981,0.08623695508663076
15 to 19,0.030592379391540834,0.9694076206084591,0.08826005066994874,0.0852678632544385
20 to 24,0.03385928617865961,0.9661407138213405,0.08782390124308154,0.08429505682320615
25 to 29,0.03879733238184519,0.9612026676181548,0.0875157489172218,0.08329640678535757
30 to 34,0.046011886630831986,0.953988113369168,0.08736398059078843,0.08227255123795589
35 to 39,0.056968152634293875,0.9430318473657062,0.08729255281941074,0.08113637072948865
40 to 44,0.07482349784680004,0.9251765021531999,0.08742562253677272,0.07993161323528085
45 to 49,0.10123654404588232,0.8987634559541178,0.08776167636749482,0.07892769602750206
50 to 54,0.13474560903234759,0.8652543909676526,0.08823878281879419,0.07851121982167741
55 to 59,0.17905147463818058,0.8209485253618194,0.08893829336729868,0.07901618426462961
60 to 64,0.22947290812519144,0.7705270918748085,0.08986184591654926,0.08061652344886035
65 to 69,0.282835192332112,0.7171648076678879,0.09106518333638974,0.08329057785909251
70 to 74,0.33436113396473754,0.6656388660352625,0.09263692491763637,0.08658918695758182
75+,0.39532951838443037,0.6046704816155697,0.09531671725158254,0.09079101417119852
