age_band,ihr,ifr,pi_mean,h_a,mu_ca_h
Under 1,0.0023,9e-5,0.29,0.007931034482758621,0.0391304347826087
1 to 4,0.0023,9e-5,0.29,0.007931034482758621,0.0391304347826087
5 to 9,0.0025,1e-4,0.29,0.008620689655172415,0.04
10 to 14,7.7e-4,3e-5,0.21113137914545538,0.00364701828367029,0.03896103896103897
15 to 19,3.3e-4,1e-5,0.2330430162211978,0.0014160475836219584,0.030303030303030307
20 to 24,5.7e-4,2e-5,0.272294243972098,0.0020933237210053104,0.03508771929824562
25 to 29,0.0029,1.3e-4,0.27873580267598563,0.01040411734753387,0.04482758620689655
30 to 34,0.004,2e-4,0.2930908041391622,0.013647647566932066,0.05
35 to 39,0.0057,3.1e-4,0.3227653957578189,0.0176598857092998,0.0543859649122807
40 to 44,0.0092,5.7e-4,0.3645319858322906,0.025237840182926016,0.06195652173913043
45 to 49,0.014,0.00106,0.42141681843668,0.03322126547282918,0.0757142857142857
50 to 54,0.018,0.00165,0.47342589211420216,0.03802073418421726,0.09166666666666667
55 to 59,0.029,0.00331,0.5189915812070975,0.05587759233502458,0.11413793103448275
60 to 64,0.067,0.00939,0.5672092789444821,0.11812218609096113,0.1401492537313433
65 to 69,0.079,0.01344,0.6010588098926803,0.1314347260197476,0.17012658227848101
70 to 74,0.17,0.03359,0.6372476199589738,0.26677227921376095,0.19758823529411765
75+,0.3,0.071915,0.6898972059682452,0.43484739089348984,0.2397166666666667
