itl1_name,lad_imd_decile,abs_adm,abs_death,total_pop,adm_per1000,death_per1000
East,1,93.20913180326255,17.34096936335795,6269161,0.014867879737537852,0.0027660749761184867
East,2,361.68325243965563,66.52719909169332,6269161,0.05769244918732437,0.010611818565784692
East,3,410.6940973021533,76.04529048679427,6269161,0.06551021696558014,0.012130058629343587
East,4,394.8934885289211,75.44752209417382,6269161,0.062989846413088,0.012034708008643234
East,5,551.0735716096831,107.05554978139998,6269161,0.08790228415089085,0.017076535405838193
East,6,216.43679862558525,42.14893412195674,6269161,0.03452404534284337,0.006723217687654974
East,7,353.7006945154361,68.63111278959207,6269161,0.05641914356888204,0.010947415896575644
East,8,340.2394441865474,65.84162148021957,6269161,0.05427192636886298,0.01050246141074054
East,9,306.68097926027167,59.52453086451979,6269161,0.04891898282087055,0.009494816110883065
East,10,230.8547214886156,45.20844320233986,6269161,0.03682386231405057,0.0072112429721201705
East Midlands (England),1,378.559757361242,62.37044035355408,4865583,0.07780357613080323,0.012818698263610769
East Midlands (England),2,289.95470972682654,54.07217658303834,4865583,0.059593004523163316,0.011113195804703843
East Midlands (England),3,387.39934411930824,71.34136700019644,4865583,0.07962033411398146,0.01466244990583789
East Midlands (England),4,137.10744890104343,26.185940544488616,4865583,0.028179038133979713,0.005381871102494525
East Midlands (England),5,444.52795333184235,85.4416295195754,4865583,0.09136170389691069,0.017560409414365225
East Midlands (England),6,428.9099416604744,83.0186836095777,4865583,0.08815180866516394,0.017062432931383084
East Midlands (England),7,255.25363854101926,49.16175765199438,4865583,0.052461059351164956,0.010103980890264205
East Midlands (England),8,219.33717986316887,42.56231194994053,4865583,0.04507932140160159,0.00874762838285577
East Midlands (England),9,110.74404574144499,21.736908115180775,4865583,0.022760693989074897,0.004467482748764285
East Midlands (England),10,93.51961785129532,18.553002008995232,4865583,0.019220639716000184,0.0038131097566304457
London,1,235.69113807008463,34.8431110194373,9002488,0.026180666730140002,0.0038703868329996445
London,2,655.1744588550049,100.09247611314305,9002488,0.07277704328570113,0.011118312639033016
London,3,879.955216986084,145.73243305227453,9002488,0.09774578060932533,0.01618801747386662
London,4,676.7004936411356,119.5345725912964,9002488,0.07516816391659012,0.01327794856169721
London,5,237.49369765373342,42.74527308242665,9002488,0.02638089577611583,0.00474816218387924
London,6,501.75432745428856,92.83738035273018,9002488,0.05573507317691382,0.01031241367416765
London,7,417.14142989069705,78.4894537392912,9002488,0.046336238369959176,0.008718640195831554
London,8,179.04986481486463,33.96874280215299,9002488,0.019888931239326797,0.003773261658571829
London,9,43.179031881068866,8.062205367742738,9002488,0.004796344286276067,8.955530257571838e-4
London,10,54.33171203165644,10.386917993003516,9002488,0.006035188498074803,0.001153783042310472
North East (England),1,298.9140034626393,52.63151005578557,2680763,0.11150333075420667,0.01963303360117458
North East (England),2,1072.9947729638127,195.03048792959817,2680763,0.4002572301109097,0.07275185756055204
North East (England),3,212.807148247565,39.127188927620686,2680763,0.07938305185783487,0.014595541988463988
North East (England),4,405.98315639968735,77.6249499744093,2680763,0.1514431363010036,0.028956289673652352
North West (England),1,2002.3665194741488,341.40737398855856,7367456,0.27178533804262267,0.04633992710490006
North West (England),2,858.0759623662226,157.06263633973475,7367456,0.11646842035652777,0.021318435609216365
North West (England),3,433.2128797157327,79.84278104971756,7367456,0.05880087776781194,0.010837225366492525
North West (England),4,381.9832574730409,73.48935696729977,7367456,0.05184737546760251,0.009974862010346553
North West (England),5,400.02461828486724,77.24320066467115,7367456,0.05429616658516417,0.010484378958580974
North West (England),6,322.22590228992357,62.93982426734517,7367456,0.04373638638492358,0.008542952176076136
North West (England),7,207.98480838767188,40.39855674918341,7367456,0.028230207060303027,0.0054833794391420075
North West (England),8,167.7347895891582,32.77902164557514,7367456,0.022766988983600064,0.004449164222436502
North West (England),9,71.67442632985906,14.206798370613907,7367456,0.009728517731203153,0.001928318047724195
South East (England),1,77.09181142549966,13.742752845090347,9217265,0.008363848866827594,0.0014909794657189902
South East (England),2,373.2591871039891,67.39956174527165,9217265,0.04049565539278616,0.007312316803875299
South East (England),3,382.5659278657365,69.48055239049427,9217265,0.04150536280184377,0.007538087750595677
South East (England),4,468.5792055787117,90.18034036292421,9217265,0.05083711985916774,0.009783850237887725
South East (England),5,751.2079753809587,144.07971361558876,9217265,0.08150009524310722,0.01563150388055337
South East (England),6,487.04437193830864,93.8488238096405,9217265,0.05284044366070723,0.010181851537266261
South East (England),7,209.65057444824885,40.57162887318119,9217265,0.022745421168670843,0.004401699297262386
South East (England),8,399.7889719347937,78.63410577249962,9217265,0.043373926206395685,0.008531175546379497
South East (England),9,266.6797632317978,51.85641854386166,9217265,0.028932634922810375,0.0056260092927632715
South East (England),10,1002.6436923982415,197.80175722512493,9217265,0.10877887230086597,0.02145991866623396
South West (England),2,132.09044514736343,25.38975687707405,5659143,0.023341068629536915,0.004486502086459743
South West (England),3,898.143347617357,167.2206299744904,5659143,0.158706600560784,0.02954875499249452
South West (England),4,236.17081178779137,45.234895035995976,5659143,0.04173261071292798,0.007993241209136432
South West (England),5,324.6111516226117,63.05392120460615,5659143,0.05736047871958912,0.011141955805782986
South West (England),6,671.9495442299426,133.01707906554537,5659143,0.11873697912032663,0.02350480966208936
South West (England),7,506.96922266196196,101.02876345114151,5659143,0.08958409827459068,0.017852307929158446
South West (England),8,335.9594917925075,66.08682970272119,5659143,0.05936578944771452,0.011677886510858835
South West (England),9,270.5301628643318,52.86341483408205,5659143,0.04780408674322805,0.009341240331633615
West Midlands (England),1,1490.3463051229724,255.81659608001578,5961929,0.24997719783697062,0.042908360042532505
West Midlands (England),3,310.4979938985471,55.555787323161255,5961929,0.05208012270836287,0.009318424845911659
West Midlands (England),4,506.1716570222337,96.36312267214016,5961929,0.08490065162168717,0.016163077868277222
West Midlands (England),5,418.7648827537073,81.27550583476452,5961929,0.07023983055714138,0.013632417600874568
West Midlands (England),6,464.5649966318084,92.06325059163922,5961929,0.07792192705277241,0.015441856250156488
West Midlands (England),7,131.9975280899011,26.060321099391718,5961929,0.022140070452013282,0.0043711223497280354
West Midlands (England),8,199.22058282363832,39.01695663361765,5961929,0.033415457115245475,0.006544351104083536
West Midlands (England),9,138.0082730995943,27.187415303743848,5961929,0.023148258407571492,0.0045601709285273025
Yorkshire and The Humber,1,664.0399836094181,114.03889403982107,5526350,0.12015887224106654,0.020635481654224047
Yorkshire and The Humber,2,1751.6093541369016,314.56841383154494,5526350,0.3169559210214521,0.056921551083725236
Yorkshire and The Humber,3,532.8258304674845,98.23058986784608,5526350,0.09641550579812797,0.01777494908354449
Yorkshire and The Humber,4,124.03917776626002,23.580401657762636,5526350,0.022445045602659988,0.004266903409621656
Yorkshire and The Humber,7,237.28015305511738,46.90882441073351,5526350,0.04293614285289882,0.008488210918731805
Yorkshire and The Humber,8,85.95859706484484,16.68391101163414,5526350,0.015554316513583983,0.0030189747322616448
Yorkshire and The Humber,9,166.73878174702105,32.7544821369565,5526350,0.030171592777696137,0.005926964838809792
